match_id,date,stage,home_team,away_team,home_goals,away_goals,home_penalties,away_penalties,stadium,attendance,total_goals,goal_difference,match_result,winner,home_possession,away_possession,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_fouls,away_fouls,home_corners,away_corners,total_shots,total_shots_on_target,total_fouls,total_corners,average_possession,goal_efficiency
1,2026-06-11,Group Stage,Mexico,South Africa,2,0,,,Mexico City Stadium (Estadio Azteca),80824,2,2,Home Win,Mexico,60.5,39.5,16,3,4,2,12,11,3,1,19,6,23,4,50,0.105263158
2,2026-06-11,Group Stage,South Korea,Czechia,2,1,,,Guadalajara Stadium (Estadio Akron),44985,3,1,Home Win,South Korea,61.5,38.5,15,7,6,4,9,16,4,5,22,10,25,9,50,0.136363636
3,2026-06-12,Group Stage,Canada,Bosnia And Herzegovina,1,1,,,Toronto Stadium (BMO Field),43002,2,0,Draw,Draw,61.1,38.9,13,8,4,3,10,20,9,4,21,7,30,13,50,0.095238095
4,2026-06-12,Group Stage,Usa,Paraguay,4,1,,,Los Angeles Stadium (SoFi Stadium),70492,5,3,Home Win,Usa,65.3,34.7,16,9,6,1,13,17,3,1,25,7,30,4,50,0.2
5,2026-06-13,Group Stage,Qatar,Switzerland,1,1,,,Boston Stadium (Gillette Stadium),67966,2,0,Draw,Draw,32,68,6,26,3,7,12,11,3,10,32,10,23,13,50,0.0625
6,2026-06-13,Group Stage,Brazil,Morocco,1,1,,,New York New Jersey Stadium (MetLife Stadium),80663,2,0,Draw,Draw,51.4,48.6,12,14,5,3,16,14,6,2,26,8,30,8,50,0.076923077
7,2026-06-13,Group Stage,Haiti,Scotland,0,1,,,Philadelphia Stadium (Lincoln Financial Field),64146,1,1,Away Win,Scotland,53.7,46.3,15,9,2,2,23,21,4,3,24,4,44,7,50,0.041666667
8,2026-06-13,Group Stage,Australia,Türkiye,2,0,,,Seattle Stadium (Lumen Field),52497,2,2,Home Win,Australia,28.4,71.6,9,30,4,8,12,4,5,8,39,12,16,13,50,0.051282051
9,2026-06-14,Group Stage,Germany,Curaçao,7,1,,,Atlanta Stadium (Mercedes-Benz Stadium),68021,8,6,Home Win,Germany,64.6,35.4,26,8,12,2,18,11,8,1,34,14,29,9,50,0.235294118
10,2026-06-14,Group Stage,Netherlands,Japan,2,2,,,San Francisco Bay Area Stadium (Levi's Stadium),69285,4,0,Draw,Draw,59.8,40.2,10,10,6,3,7,7,5,4,20,9,14,9,50,0.2
11,2026-06-14,Group Stage,Côte D'Ivoire,Ecuador,1,0,,,Houston Stadium (NRG Stadium),68274,1,1,Home Win,Côte D'Ivoire,48.4,51.6,15,12,4,1,10,13,3,6,27,5,23,9,50,0.037037037
12,2026-06-14,Group Stage,Sweden,Tunisia,5,1,,,Kansas City Stadium (Arrowhead Stadium),50987,6,4,Home Win,Sweden,48.7,51.3,13,6,7,2,10,8,4,2,19,9,18,6,50,0.315789474
13,2026-06-15,Group Stage,Spain,Cabo Verde,0,0,,,Miami Stadium (Hard Rock Stadium),67640,0,0,Draw,Draw,74.3,25.7,27,6,7,1,10,1,11,1,33,8,11,12,50,0
14,2026-06-15,Group Stage,Belgium,Egypt,1,1,,,Dallas Stadium (AT&T Stadium),66775,2,0,Draw,Draw,53.6,46.4,15,14,3,3,15,15,2,7,29,6,30,9,50,0.068965517
15,2026-06-15,Group Stage,Saudi Arabia,Uruguay,1,1,,,Monterrey Stadium (Estadio BBVA),62764,2,0,Draw,Draw,33.2,66.8,7,27,3,10,11,6,4,14,34,13,17,18,50,0.058823529
16,2026-06-15,Group Stage,Ir Iran,New Zealand,2,2,,,Vancouver Stadium (BC Place),70108,4,0,Draw,Draw,48.5,51.5,17,14,4,8,10,8,4,1,31,12,18,5,50,0.129032258
17,2026-06-16,Group Stage,France,Senegal,3,1,,,New York New Jersey Stadium (MetLife Stadium),80545,4,2,Home Win,France,53.4,46.6,11,6,8,2,5,9,6,4,17,10,14,10,50,0.235294118
18,2026-06-16,Group Stage,Iraq,Norway,1,4,,,Boston Stadium (Gillette Stadium),63106,5,3,Away Win,Norway,38.7,61.3,11,12,1,5,12,13,2,5,23,6,25,7,50,0.217391304
19,2026-06-16,Group Stage,Argentina,Algeria,3,0,,,Los Angeles Stadium (SoFi Stadium),69045,3,3,Home Win,Argentina,47.8,52.2,10,7,6,1,13,8,2,2,17,7,21,4,50,0.176470588
20,2026-06-16,Group Stage,Austria,Jordan,3,1,,,San Francisco Bay Area Stadium (Levi's Stadium),68527,4,2,Home Win,Austria,63.2,36.8,11,11,4,4,12,7,4,3,22,8,19,7,50,0.181818182
21,2026-06-17,Group Stage,Portugal,Congo Dr,1,1,,,Atlanta Stadium (Mercedes-Benz Stadium),68777,2,0,Draw,Draw,75.4,24.6,7,8,1,2,9,10,5,4,15,3,19,9,50,0.133333333
22,2026-06-17,Group Stage,England,Croatia,4,2,,,Miami Stadium (Hard Rock Stadium),70389,6,2,Home Win,England,51.7,48.3,22,10,11,5,10,12,8,2,32,16,22,10,50,0.1875
23,2026-06-17,Group Stage,Ghana,Panama,1,0,,,Houston Stadium (NRG Stadium),42942,1,1,Home Win,Ghana,38,62,7,11,2,4,9,11,2,2,18,6,20,4,50,0.055555556
24,2026-06-17,Group Stage,Uzbekistan,Colombia,1,3,,,Seattle Stadium (Lumen Field),80824,4,2,Away Win,Colombia,38.6,61.4,8,15,2,4,14,11,3,4,23,6,25,7,50,0.173913043
25,2026-06-18,Group Stage,Mexico,South Korea,1,0,,,Atlanta Stadium (Mercedes-Benz Stadium),67442,1,1,Home Win,Mexico,38.3,61.7,14,17,3,4,12,10,5,5,31,7,22,10,50,0.032258065
26,2026-06-18,Group Stage,Czechia,South Africa,1,1,,,Los Angeles Stadium (SoFi Stadium),70026,2,0,Draw,Draw,62.3,37.7,13,5,7,3,7,18,7,3,18,10,25,10,50,0.111111111
27,2026-06-18,Group Stage,Canada,Qatar,6,0,,,Vancouver Stadium (BC Place),52497,6,6,Home Win,Canada,79,21,32,2,10,0,9,10,19,1,34,10,19,20,50,0.176470588
28,2026-06-18,Group Stage,Switzerland,Bosnia And Herzegovina,4,1,,,Mexico City Stadium (Estadio Azteca),45522,5,3,Home Win,Switzerland,42.4,57.6,8,9,4,2,9,7,1,2,17,6,16,3,50,0.294117647
29,2026-06-19,Group Stage,Brazil,Haiti,3,0,,,New York New Jersey Stadium (MetLife Stadium),66925,3,3,Home Win,Brazil,61.9,38.1,10,5,2,2,12,16,7,4,15,4,28,11,50,0.2
30,2026-06-19,Group Stage,Scotland,Morocco,0,1,,,Dallas Stadium (AT&T Stadium),64146,1,1,Away Win,Morocco,41.1,58.9,6,12,0,2,11,8,2,5,18,2,19,7,50,0.055555556
31,2026-06-19,Group Stage,Usa,Australia,2,0,,,Toronto Stadium (BMO Field),68324,2,2,Home Win,Usa,56.7,43.3,8,7,5,3,13,14,4,4,15,8,27,8,50,0.133333333
32,2026-06-19,Group Stage,Türkiye,Paraguay,0,1,,,Monterrey Stadium (Estadio BBVA),68827,1,1,Away Win,Paraguay,78.5,21.5,32,7,5,2,14,15,12,0,39,7,29,12,50,0.025641026
33,2026-06-20,Group Stage,Germany,Côte D'Ivoire,2,1,,,Boston Stadium (Gillette Stadium),68777,3,1,Home Win,Germany,50.9,49.1,10,16,7,8,9,12,2,5,26,15,21,7,50,0.115384615
34,2026-06-20,Group Stage,Ecuador,Curaçao,0,0,,,Kansas City Stadium (Arrowhead Stadium),43036,0,0,Draw,Draw,59.5,40.5,16,9,7,2,5,7,8,3,25,9,12,11,50,0
35,2026-06-20,Group Stage,Netherlands,Sweden,5,1,,,Philadelphia Stadium (Lincoln Financial Field),68598,6,4,Home Win,Netherlands,74.6,25.4,27,10,15,3,7,10,9,0,37,18,17,9,50,0.162162162
36,2026-06-20,Group Stage,Tunisia,Japan,0,4,,,Seattle Stadium (Lumen Field),51243,4,4,Away Win,Japan,37.9,62.1,2,11,0,5,8,15,3,5,13,5,23,8,50,0.307692308
37,2026-06-21,Group Stage,Belgium,Ir Iran,0,0,,,Houston Stadium (NRG Stadium),68239,0,0,Draw,Draw,67.1,32.9,22,3,8,1,10,2,6,1,25,9,12,7,50,0
38,2026-06-21,Group Stage,New Zealand,Egypt,1,3,,,Miami Stadium (Hard Rock Stadium),70317,4,2,Away Win,Egypt,70.1,29.9,23,7,7,3,7,9,4,2,30,10,16,6,50,0.133333333
39,2026-06-21,Group Stage,Spain,Saudi Arabia,4,0,,,San Francisco Bay Area Stadium (Levi's Stadium),64003,4,4,Home Win,Spain,65.2,34.8,17,12,2,4,11,4,11,4,29,6,15,15,50,0.137931034
40,2026-06-21,Group Stage,Uruguay,Cabo Verde,2,2,,,New York New Jersey Stadium (MetLife Stadium),52497,4,0,Draw,Draw,44.4,55.6,11,19,5,7,14,8,4,4,30,12,22,8,50,0.133333333
41,2026-06-22,Group Stage,France,Iraq,3,0,,,Dallas Stadium (AT&T Stadium),70649,3,3,Home Win,France,53.6,46.4,12,6,5,1,13,13,1,3,18,6,26,4,50,0.166666667
42,2026-06-22,Group Stage,Norway,Senegal,3,2,,,Toronto Stadium (BMO Field),68324,5,1,Home Win,Norway,55.6,44.4,19,4,5,0,8,4,4,2,23,5,12,6,50,0.217391304
43,2026-06-22,Group Stage,Argentina,Austria,2,0,,,Monterrey Stadium (Estadio BBVA),80663,2,2,Home Win,Argentina,41.7,58.3,13,16,7,4,13,5,5,4,29,11,18,9,50,0.068965517
44,2026-06-22,Group Stage,Jordan,Algeria,1,2,,,Boston Stadium (Gillette Stadium),68371,3,1,Away Win,Algeria,27.9,72.1,8,17,4,8,11,6,1,10,25,12,17,11,50,0.12
45,2026-06-23,Group Stage,Portugal,Uzbekistan,5,0,,,Kansas City Stadium (Arrowhead Stadium),68777,5,5,Home Win,Portugal,65.9,34.1,17,7,9,2,14,15,3,2,24,11,29,5,50,0.208333333
46,2026-06-23,Group Stage,Colombia,Congo Dr,1,0,,,Philadelphia Stadium (Lincoln Financial Field),63983,1,1,Home Win,Colombia,78.9,21.1,19,2,3,1,14,24,9,2,21,4,38,11,50,0.047619048
47,2026-06-23,Group Stage,England,Ghana,0,0,,,Seattle Stadium (Lumen Field),43036,0,0,Draw,Draw,42,58,8,6,1,2,19,12,7,2,14,3,31,9,50,0
48,2026-06-23,Group Stage,Panama,Croatia,0,1,,,Mexico City Stadium (Estadio Azteca),45358,1,1,Away Win,Croatia,63.5,36.5,20,7,9,1,12,16,5,4,27,10,28,9,50,0.037037037
49,2026-06-24,Group Stage,Czechia,Mexico,0,3,,,Mexico City Stadium (Estadio Azteca),66925,3,3,Away Win,Mexico,54.4,45.6,14,9,5,3,9,14,5,5,23,8,23,10,50,0.130434783
50,2026-06-24,Group Stage,South Africa,South Korea,1,0,,,Guadalajara Stadium (Estadio Akron),52497,1,1,Home Win,South Africa,55.3,44.7,6,13,4,7,19,13,2,7,19,11,32,9,50,0.052631579
51,2026-06-24,Group Stage,Switzerland,Canada,2,1,,,Vancouver Stadium (BC Place),68239,3,1,Home Win,Switzerland,69.1,30.9,22,9,11,2,10,18,9,1,31,13,28,10,50,0.096774194
52,2026-06-24,Group Stage,Bosnia And Herzegovina,Qatar,3,1,,,Toronto Stadium (BMO Field),64478,4,2,Home Win,Bosnia And Herzegovina,46,54,14,21,5,9,10,11,7,7,35,14,21,14,50,0.114285714
