match_id,date,home_team,away_team,home_score,away_score,attendance,venue,home_possession,away_possession,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_fouls,away_fouls,home_corners,away_corners,home_assists,away_assists
760415,2026-06-11,Mexico,South Africa,2,0,80824,Estadio Banorte,60.5,39.5,16,3,4,2,12,11,3,1,2,0
760414,2026-06-12,South Korea,Czechia,2,1,44985,Estadio Akron,61.5,38.5,15,7,6,4,9,16,4,5,2,1
760416,2026-06-12,Canada,Bosnia-Herzegovina,1,1,43002,BMO Field,61.1,38.9,13,8,4,3,10,20,9,4,1,1
760417,2026-06-13,United States,Paraguay,4,1,70492,SoFi Stadium,65.3,34.7,16,9,6,1,13,17,3,1,3,1
760420,2026-06-13,Qatar,Switzerland,1,1,67966,Levi's Stadium,32,68,6,26,3,7,12,11,3,10,1,0
760419,2026-06-13,Brazil,Morocco,1,1,80663,MetLife Stadium,51.4,48.6,12,14,5,3,16,14,6,2,1,1
760418,2026-06-14,Haiti,Scotland,0,1,64146,Gillette Stadium,53.7,46.3,15,9,2,2,23,21,4,3,0,0
760421,2026-06-14,Australia,Türkiye,2,0,52497,BC Place,28.4,71.6,9,30,4,8,12,4,5,8,1,0
760422,2026-06-14,Germany,Curaçao,7,1,68021,NRG Stadium,64.6,35.4,26,8,12,2,18,11,8,1,6,0
760425,2026-06-14,Netherlands,Japan,2,2,69285,AT&T Stadium,59.8,40.2,10,10,6,3,7,7,5,4,2,2
760423,2026-06-14,Ivory Coast,Ecuador,1,0,68274,Lincoln Financial Field,48.4,51.6,15,12,4,1,10,13,3,6,1,0
760424,2026-06-15,Sweden,Tunisia,5,1,50987,Estadio BBVA,48.7,51.3,13,6,7,2,10,8,4,2,4,1
760428,2026-06-15,Spain,Cape Verde,0,0,67640,Mercedes-Benz Stadium,74.3,25.7,27,6,7,1,10,1,11,1,0,0
760426,2026-06-15,Belgium,Egypt,1,1,66775,Lumen Field,53.6,46.4,15,14,3,3,15,15,2,7,0,1
760429,2026-06-15,Saudi Arabia,Uruguay,1,1,62764,Hard Rock Stadium,33.2,66.8,7,27,3,10,11,6,4,14,0,0
760427,2026-06-16,Iran,New Zealand,2,2,70108,SoFi Stadium,48.5,51.5,17,14,4,8,10,8,4,1,1,2
760432,2026-06-16,France,Senegal,3,1,80545,MetLife Stadium,53.4,46.6,11,6,8,2,5,9,6,4,2,1
760430,2026-06-16,Iraq,Norway,1,4,63106,Gillette Stadium,38.7,61.3,11,12,1,5,12,13,2,5,1,2
760433,2026-06-17,Argentina,Algeria,3,0,69045,GEHA Field at Arrowhead Stadium,47.8,52.2,10,7,6,1,13,8,2,2,2,1
760431,2026-06-17,Austria,Jordan,3,1,68527,Levi's Stadium,63.2,36.8,11,11,4,4,12,7,4,3,1,1
760435,2026-06-17,Portugal,Congo DR,1,1,68777,NRG Stadium,75.4,24.6,7,8,1,2,9,10,5,4,1,1
760437,2026-06-17,England,Croatia,4,2,70389,AT&T Stadium,51.7,48.3,22,10,11,5,10,12,8,2,3,2
760434,2026-06-17,Ghana,Panama,1,0,42942,BMO Field,38,62,7,11,2,4,9,11,2,2,1,0
760436,2026-06-18,Uzbekistan,Colombia,1,3,80824,Estadio Banorte,38.6,61.4,8,15,2,4,14,11,3,4,0,3
760438,2026-06-18,Czechia,South Africa,1,1,67442,Mercedes-Benz Stadium,38.3,61.7,14,17,3,4,12,10,5,5,1,0
760439,2026-06-18,Switzerland,Bosnia-Herzegovina,4,1,70026,SoFi Stadium,62.3,37.7,13,5,7,3,7,18,7,3,2,0
760440,2026-06-18,Canada,Qatar,6,0,52497,BC Place,79,21,32,2,10,0,9,10,19,1,1,0
760441,2026-06-19,Mexico,South Korea,1,0,45522,Estadio Akron,42.4,57.6,8,9,4,2,9,7,1,2,0,0
760442,2026-06-19,United States,Australia,2,0,66925,Lumen Field,61.9,38.1,10,5,2,2,12,16,7,4,0,0
760445,2026-06-19,Scotland,Morocco,0,1,64146,Gillette Stadium,41.1,58.9,6,12,0,2,11,8,2,5,0,1
760444,2026-06-20,Brazil,Haiti,3,0,68324,Lincoln Financial Field,56.7,43.3,8,7,5,3,13,14,4,4,2,0
760443,2026-06-20,Türkiye,Paraguay,0,1,68827,Levi's Stadium,78.5,21.5,32,7,5,2,14,15,12,0,0,1
760447,2026-06-20,Netherlands,Sweden,5,1,68777,NRG Stadium,50.9,49.1,10,16,7,8,9,12,2,5,5,1
760448,2026-06-20,Germany,Ivory Coast,2,1,43036,BMO Field,59.5,40.5,16,9,7,2,5,7,8,3,2,0
760446,2026-06-21,Ecuador,Curaçao,0,0,68598,GEHA Field at Arrowhead Stadium,74.6,25.4,27,10,15,3,7,10,9,0,0,0
760449,2026-06-21,Tunisia,Japan,0,4,51243,Estadio BBVA,37.9,62.1,2,11,0,5,8,15,3,5,0,4
760453,2026-06-21,Spain,Saudi Arabia,4,0,68239,Mercedes-Benz Stadium,67.1,32.9,22,3,8,1,10,2,6,1,3,0
760451,2026-06-21,Belgium,Iran,0,0,70317,SoFi Stadium,70.1,29.9,23,7,7,3,7,9,4,2,0,1
760450,2026-06-21,Uruguay,Cape Verde,2,2,64003,Hard Rock Stadium,65.2,34.8,17,12,2,4,11,4,11,4,1,0
760452,2026-06-22,New Zealand,Egypt,1,3,52497,BC Place,44.4,55.6,11,19,5,7,14,8,4,4,1,3
760456,2026-06-22,Argentina,Austria,2,0,70649,AT&T Stadium,53.6,46.4,12,6,5,1,13,13,1,3,1,0
760457,2026-06-22,France,Iraq,3,0,68324,Lincoln Financial Field,55.6,44.4,19,4,5,0,8,4,4,2,3,0
760454,2026-06-23,Norway,Senegal,3,2,80663,MetLife Stadium,41.7,58.3,13,16,7,4,13,5,5,4,2,2
760455,2026-06-23,Jordan,Algeria,1,2,68371,Levi's Stadium,27.9,72.1,8,17,4,8,11,6,1,10,1,1
760461,2026-06-23,Portugal,Uzbekistan,5,0,68777,NRG Stadium,65.9,34.1,17,7,9,2,14,15,3,2,2,0
760458,2026-06-23,England,Ghana,0,0,63983,Gillette Stadium,78.9,21.1,19,2,3,1,14,24,9,2,0,0
760460,2026-06-23,Panama,Croatia,0,1,43036,BMO Field,42,58,8,6,1,2,19,12,7,2,0,1
760459,2026-06-24,Colombia,Congo DR,1,0,45358,Estadio Akron,63.5,36.5,20,7,9,1,12,16,5,4,1,0
760462,2026-06-24,Bosnia-Herzegovina,Qatar,3,1,66925,Lumen Field,54.4,45.6,14,9,5,3,9,14,5,5,2,1
760463,2026-06-24,Switzerland,Canada,2,1,52497,BC Place,55.3,44.7,6,13,4,7,19,13,2,7,2,1
760464,2026-06-24,Morocco,Haiti,4,2,68239,Mercedes-Benz Stadium,69.1,30.9,22,9,11,2,10,18,9,1,3,1
760465,2026-06-24,Scotland,Brazil,0,3,64478,Hard Rock Stadium,46,54,14,21,5,9,10,11,7,7,0,3
760467,2026-06-25,Czechia,Mexico,0,3,80824,Estadio Banorte,51.9,48.1,13,11,1,5,9,13,5,1,0,3
760466,2026-06-25,South Africa,South Korea,1,0,51243,Estadio BBVA,31.6,68.4,13,8,4,3,7,9,4,6,1,0
760473,2026-06-25,Curaçao,Ivory Coast,0,2,68324,Lincoln Financial Field,36.7,63.3,11,7,2,3,11,6,4,6,0,2
760468,2026-06-25,Ecuador,Germany,2,1,80663,MetLife Stadium,38.9,61.1,7,11,3,3,15,10,3,2,2,1
760471,2026-06-25,Japan,Sweden,1,1,70137,AT&T Stadium,52.3,47.7,8,11,3,5,20,11,2,8,1,1
760472,2026-06-25,Tunisia,Netherlands,1,3,68391,GEHA Field at Arrowhead Stadium,28.6,71.4,10,20,4,7,11,10,4,6,1,2
760469,2026-06-26,Paraguay,Australia,0,0,68827,Levi's Stadium,44,56,7,12,2,5,9,6,1,3,0,0
760470,2026-06-26,Türkiye,United States,3,2,70492,SoFi Stadium,47.4,52.6,9,18,3,7,13,13,2,9,2,1
760475,2026-06-26,Norway,France,1,4,64146,Gillette Stadium,43.3,56.7,10,18,4,9,9,11,4,5,1,4
760474,2026-06-26,Senegal,Iraq,5,0,43036,BMO Field,69.2,30.8,28,6,12,1,10,11,12,3,5,0
760478,2026-06-27,Cape Verde,Saudi Arabia,0,0,68278,NRG Stadium,51,49,15,7,2,3,10,16,4,2,0,0
760479,2026-06-27,Uruguay,Spain,0,1,45065,Estadio Akron,33.1,66.9,5,6,1,1,14,14,1,6,0,1
760476,2026-06-27,Egypt,Iran,1,1,66925,Lumen Field,61.4,38.6,15,13,3,4,11,16,8,2,1,0
760477,2026-06-27,New Zealand,Belgium,1,5,52497,BC Place,45.5,54.5,6,35,2,10,10,7,5,8,0,3
760480,2026-06-27,Croatia,Ghana,2,1,68324,Lincoln Financial Field,53.3,46.7,8,6,4,1,9,13,3,2,2,1
760485,2026-06-27,Panama,England,0,2,80663,MetLife Stadium,32.9,67.1,13,17,2,6,16,13,3,7,0,2
760481,2026-06-27,Colombia,Portugal,0,0,64478,Hard Rock Stadium,54.6,45.4,24,13,6,2,12,6,5,2,0,0
760482,2026-06-27,Congo DR,Uzbekistan,3,1,68239,Mercedes-Benz Stadium,57.6,42.4,19,3,4,1,6,16,2,4,1,1
760484,2026-06-28,Algeria,Austria,3,3,69045,GEHA Field at Arrowhead Stadium,65,35,12,10,5,3,3,7,0,3,2,3
760483,2026-06-28,Jordan,Argentina,1,3,70649,AT&T Stadium,26.7,73.3,5,12,1,4,13,7,2,6,1,0
760486,2026-06-28,South Africa,Canada,0,1,69237,SoFi Stadium,58.4,41.6,6,12,1,7,10,16,1,4,0,0
760487,2026-06-29,Brazil,Japan,2,1,68777,NRG Stadium,68.6,31.4,19,5,7,2,4,13,6,2,2,0
760489,2026-06-29,Germany,Paraguay,1,1,63945,Gillette Stadium,75.6,24.4,21,7,6,3,18,12,16,6,1,1
760488,2026-06-30,Netherlands,Morocco,1,1,51243,Estadio BBVA,29.9,70.1,6,11,2,5,18,15,5,8,1,1
760490,2026-06-30,Ivory Coast,Norway,1,2,69665,AT&T Stadium,47,53,14,9,5,4,6,7,14,3,1,2
760492,2026-06-30,France,Sweden,3,0,80663,MetLife Stadium,61,39,25,8,12,3,14,10,9,1,3,0
760491,2026-07-01,Mexico,Ecuador,2,0,80824,Estadio Banorte,42.8,57.2,15,7,3,1,10,14,3,8,2,0
760495,2026-07-01,England,Congo DR,2,1,68239,Mercedes-Benz Stadium,59.7,40.3,16,7,7,2,10,12,5,3,2,1
760493,2026-07-01,Belgium,Senegal,3,2,66925,Lumen Field,52.3,47.7,19,19,5,5,22,12,4,2,2,1
760494,2026-07-02,United States,Bosnia-Herzegovina,2,0,68827,Levi's Stadium,48.4,51.6,8,10,2,3,7,13,4,3,0,0
760497,2026-07-02,Spain,Austria,3,0,70492,SoFi Stadium,64.4,35.6,23,5,10,0,8,15,9,0,3,0
760496,2026-07-02,Portugal,Croatia,2,1,43036,BMO Field,60.4,39.6,15,13,3,6,6,12,9,5,1,1
760498,2026-07-03,Switzerland,Algeria,2,0,52497,BC Place,44.5,55.5,11,8,5,2,10,12,4,2,1,0
760499,2026-07-03,Australia,Egypt,1,1,70244,AT&T Stadium,41.7,58.3,16,14,1,3,12,14,4,7,0,1
760500,2026-07-03,Argentina,Cape Verde,3,2,64478,Hard Rock Stadium,63.6,36.4,22,16,10,5,13,12,8,8,2,2
760501,2026-07-04,Colombia,Ghana,1,0,69045,GEHA Field at Arrowhead Stadium,60.7,39.3,20,8,8,0,14,10,3,2,1,0
760502,2026-07-04,Canada,Morocco,0,3,68777,NRG Stadium,44.7,55.3,10,5,3,4,24,14,11,1,0,3
760503,2026-07-04,Paraguay,France,0,1,68324,Lincoln Financial Field,24.1,75.9,5,15,1,5,13,11,2,12,0,0
760504,2026-07-05,Brazil,Norway,1,2,80663,MetLife Stadium,33.6,66.4,14,9,4,5,7,6,5,5,0,2
760505,2026-07-06,Mexico,England,2,3,80824,Estadio Banorte,66.9,33.1,20,6,5,5,14,7,12,2,0,2
760506,2026-07-06,Portugal,Spain,0,1,70649,AT&T Stadium,44.6,55.4,10,15,2,6,9,13,3,7,0,1
760507,2026-07-07,United States,Belgium,1,4,66925,Lumen Field,55.9,44.1,7,15,2,7,11,9,3,5,0,4
760509,2026-07-07,Argentina,Egypt,3,2,68239,Mercedes-Benz Stadium,63.6,36.4,19,5,7,2,13,11,6,1,3,2
760508,2026-07-07,Switzerland,Colombia,0,0,52497,BC Place,53.4,46.6,7,15,2,3,22,21,3,7,0,0
760510,2026-07-09,France,Morocco,2,0,63811,Gillette Stadium,48,52,22,5,8,1,10,13,5,5,2,0
760511,2026-07-10,Spain,Belgium,0,0,0,SoFi Stadium,,,,,,,,,,,,
760512,2026-07-11,Norway,England,0,0,0,Hard Rock Stadium,,,,,,,,,,,,
760513,2026-07-12,Argentina,Switzerland,0,0,0,GEHA Field at Arrowhead Stadium,,,,,,,,,,,,
760514,2026-07-14,France,Quarterfinal 2 Winner,0,0,0,AT&T Stadium,,,,,,,,,,,,
760515,2026-07-15,Quarterfinal 3 Winner,Quarterfinal 4 Winner,0,0,0,Mercedes-Benz Stadium,,,,,,,,,,,,
760516,2026-07-18,Semifinal 1 Loser,Semifinal 2 Loser,0,0,0,Hard Rock Stadium,,,,,,,,,,,,
760517,2026-07-19,Semifinal 1 Winner,Semifinal 2 Winner,0,0,0,MetLife Stadium,,,,,,,,,,,,
